ticker,permno,date,prc,ret,vwretd,normalized_stock_return,normalized_market_return
AMZN,84788,2020-04-30,2474.0,0.2689,0.129674,133.8860772843221,89.24707307293558
AMZN,84788,2020-05-29,2442.37012,-0.012785,0.053739,132.17434378624205,94.04312153280206
AMZN,84788,2020-06-30,2758.82007,0.129567,0.025299,149.29977698759407,96.42231846446042
AMZN,84788,2020-07-31,3164.67993,0.147114,0.055532,171.26386437934698,101.77684265342883
AMZN,84788,2020-08-31,3450.95996,0.090461,0.068442,186.75656481496708,108.74265331831484
AMZN,84788,2020-09-30,3148.72998,-0.087579,-0.035056,170.40061162503707,104.93057086358799
AMZN,84788,2020-10-30,3036.1499,-0.035754,-0.020178,164.3081081569955,102.81328180470251
AMZN,84788,2020-11-30,3168.04004,0.04344,0.123707,171.44565237533538,115.53200445691685
AMZN,84788,2020-12-31,3256.92993,0.028058,0.045048,176.25607448968253,120.73649019369203
AMZN,84788,2021-01-29,3206.19995,-0.015576,-0.000631,173.5107098734312,120.6603054683798
AMZN,84788,2021-02-26,3092.92993,-0.035328,0.029196,167.38092351502266,124.1831037468346
AMZN,84788,2021-03-31,3094.08008,0.000372,0.030573,167.44318921857024,127.97975377768658
AMZN,84788,2021-04-30,3467.41992,0.120663,0.04819,187.64738675925057,134.1470981122333
AMZN,84788,2021-05-28,3223.07007,-0.07047,0.007092,174.42387541432618,135.09846933204525
AMZN,84788,2021-06-30,3440.15991,0.067355,0.023422,186.17219554285813,138.2627456807404
AMZN,84788,2021-07-30,3327.59009,-0.032722,0.011828,180.08026896030472,139.89811743665223
AMZN,84788,2021-08-31,3470.79004,0.043034,0.027146,187.82984325474249,143.69579173258757
AMZN,84788,2021-09-30,3285.04004,-0.053518,-0.042243,177.77756570343516,137.62565040242785
AMZN,84788,2021-10-29,3372.42993,0.026602,0.064651,182.50680450627797,146.5232863265952
AMZN,84788,2021-11-30,3507.07007,0.039924,-0.018351,189.79320616938662,143.83443749921588
AMZN,84788,2021-12-31,3334.34009,-0.049252,0.033341,180.44551117913198,148.63002147987723
AMZN,84788,2022-01-31,2991.46997,-0.10283,-0.059823,161.89029926458184,139.73852770488654
AMZN,84788,2022-02-28,3071.26001,0.026673,-0.021838,166.20839921686604,136.6869177368672
AMZN,84788,2022-03-31,3259.94995,0.061437,0.030506,176.41974463955265,140.85668884934807
AMZN,84788,2022-04-29,2485.62988,-0.237525,-0.089387,134.51564479404288,128.2659320031714
AMZN,84788,2022-05-31,2404.18994,-0.032764,-0.002113,130.10837420801087,127.9949060888487
AMZN,84788,2022-06-30,106.21,-0.116459,-0.083998,114.95608305612012,117.24358996719756
AMZN,84788,2022-07-29,134.95,0.270596,0.090351,146.06273930677403,127.83666556432385
AMZN,84788,2022-08-31,126.77,-0.060615,-0.036233,137.20914636369392,123.20475966093171
AMZN,84788,2022-09-30,113.0,-0.108622,-0.091323,122.30521446737677,111.95333139441645
AMZN,84788,2022-10-31,102.44,-0.093451,0.077394,110.87566987018596,120.61784752435591
AMZN,84788,2022-11-30,96.54,-0.057595,0.052354,104.48978566401259,126.93267431364606
AMZN,84788,2022-12-30,84.0,-0.129894,-0.05712,90.91718944497134,119.68227995685059
AMZN,84788,2023-01-31,103.13,0.227738,0.071823,111.62248833479023,128.27822035019148
AMZN,84788,2023-02-28,94.23,-0.086299,-0.024666,101.98957921398618,125.11410976703365
AMZN,84788,2023-03-31,103.29,0.096148,0.02395,111.7956732762525,128.1105926959541
AMZN,84788,2023-04-28,105.45,0.020912,0.008976,114.1335443958055,129.260513375993
AMZN,84788,2023-05-31,120.58,0.14348,0.000708,130.50942534571567,129.35202981946318
AMZN,84788,2023-06-30,130.36,0.081108,0.066183,141.094783816656,137.91293520900473
AMZN,84788,2023-07-31,133.67999,0.025468,0.035618,144.6881857708986,142.82511813527904
AMZN,84788,2023-08-31,138.00999,0.032391,-0.020608,149.3747807962038,139.88177810074723
AMZN,84788,2023-09-29,127.12,-0.078907,-0.047391,137.58806496791775,133.25264075477472
AMZN,84788,2023-10-31,133.09,0.046963,-0.028865,144.04961326300608,129.40630327938814
AMZN,84788,2023-11-30,146.09,0.097678,0.092053,158.12009138730997,141.31854171516565
